"Process Path","Work Pool","ExSD","Quantity"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 18:45","251"
"PPNonCon","PickingNotYetPickedPrioritized","2022-11-30 23:30","4"
"PPNonCon","ManifestPending","2022-11-30 23:30","11"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 23:00","2"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 23:30","13"
"PPSingleMedium","PickingPickedRouting","2022-12-01 06:45","4"
"PPMultiMedium","ManifestPending","2022-11-30 23:30","344"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 14:30","60"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 23:30","2"
"PPSingleMedium","PickingPickedRouting","2022-12-01 10:45","16"
"PPSingleMedium","PickingPicked","2022-12-01 14:30","1"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 23:30","2"
"PPMultiWrap","ReadyToPick","2022-11-30 23:30","10"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 19:45","627"
"PPMultiMedium","Sorted","2022-11-30 19:15","4"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 19:45","12"
"PPMultiMedium","RebinBuffered","2022-11-30 18:45","39"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-11-30 18:45","9"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 02:30","4"
"PPNonCon","ManifestPending","2022-11-30 23:00","1"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 19:15","2"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 23:00","36"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 14:30","281"
"PPNonCon","PickingNotYetPickedPrioritized","2022-11-30 18:45","1"
"PPSingleMedium","PickingPickedInProgress","2022-12-01 03:30","1"
"PPMultiMedium","ManifestPendingVerification","2022-11-30 14:30","3"
"PPMultiMedium","Sorted","2022-12-01 19:45","22"
"PPMultiWrap","ReadyToPick","2022-12-01 06:45","5"
"PPSingleMedium","PickingPickedInTransit","2022-11-30 23:00","1"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 19:45","34"
"PPNonCon","PickingNotYetPicked","2022-12-01 19:45","6"
"PPMultiWrap","ReadyToPick","2022-12-01 23:00","2"
"PPSingleMedium","PickingPickedInTransit","2022-12-01 06:45","1"
"PPMultiMedium","PickingPicked","2022-11-30 19:45","19"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 18:45","2"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 23:30","6"
"PPNonCon","ManifestPending","2022-11-30 19:45","6"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 03:30","48"
"PPMultiMedium","RebinBuffered","2022-11-30 19:15","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 10:45","1681"
"PPSingleMedium","PickingPickedRouting","2022-12-01 03:30","1"
"PPMultiMedium","ManifestPending","2022-11-30 19:45","475"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 19:45","36"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 18:45","14"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 23:00","4"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 03:30","68"
"PPSingleMedium","PickingPicked","2022-12-01 06:45","20"
"PPMultiMedium","RebinBuffered","2022-11-30 19:45","100"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 19:45","20"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 19:15","6"
"PPMultiMedium","ReadyToPick","2022-12-01 19:15","2"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-11-30 18:45","2"
"PPMultiMedium","ManifestPending","2022-12-01 14:15","256"
"PPNonCon","PickingNotYetPickedNotPrioritized","2022-11-30 19:45","1"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 23:30","125"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 10:45","175"
"PPSingleMedium","Sorted","2022-12-01 02:30","1"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 03:30","29"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 14:30","99"
"PPMultiMedium","ManifestPending","2022-11-29 14:15","48"
"PPNonCon","ManifestPending","2022-11-30 18:45","2"
"PPNonCon","PickingNotYetPickedNonPickable","2022-11-30 23:30","1"
"PPMultiMedium","PickingPicked","2022-11-30 23:00","6"
"PPNonCon","PickingNotYetPickedPrioritized","2022-11-30 23:00","1"
"PPSingleMedium","PickingPicked","2022-12-01 19:15","2"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 18:45","12"
"PPMultiMedium","ManifestPending","2022-11-30 18:45","81"
"PPSingleMedium","ManifestPending","2022-11-30 23:30","1935"
"PPMultiMedium","ManifestPending","2022-11-30 23:00","162"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 19:15","10"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 23:30","1"
"PPMultiMedium","PickingPickedInTransit","2022-11-30 19:45","7"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-12-01 14:30","2"
"PPMultiMedium","Sorted","2022-11-30 14:30","18"
"PPMultiMedium","ReadyToPick","2022-12-01 06:45","47"
"PPSingleMedium","PickingPickedInProgress","2022-11-30 14:30","1"
"PPMultiMedium","Sorted","2022-12-01 18:45","19"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 02:30","2"
"PPMultiMedium","Sorted","2022-12-01 23:00","9"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-11-30 23:30","45"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 19:15","3"
"PPSingleMedium","PickingPickedRouting","2022-11-30 14:30","4"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 23:00","9"
"PPNonCon","PickingNotYetPicked","2022-12-01 23:00","1"
"PPSingleMedium","PickingPicked","2022-11-30 23:30","36"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 10:45","85"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 06:45","199"
"PPSingleMedium","ManifestPending","2022-12-01 06:45","95"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 18:45","43"
"PPMultiWrap","ReadyToPick","2022-12-01 19:45","5"
"PPNonCon","PickingNotYetPicked","2022-11-30 14:30","2"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 14:30","2"
"PPSingleMedium","PickingPickedRouting","2022-12-01 18:45","1"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 19:45","14"
"PPMultiWrap","PredictedCharge","2022-12-01 23:30","11"
"PPMultiMedium","PredictedCharge","2022-12-01 23:30","2581"
